timestamp,pg_major,mode,impl,backends,K,throughput_tx_per_sec,p50_ms,p95_ms,p99_ms,wal_bytes,xclaim_capacity_observed,deadlocks
2026-05-24T21:37:51Z,17,disjoint,A,1,1000,1901.2,0.222,0.286,0.522,232,0,0
2026-05-24T21:37:52Z,17,disjoint,B,1,1000,443.0,1.975,2.787,3.273,8952,-,0
2026-05-24T21:37:53Z,17,disjoint,C,1,1000,476.9,1.849,2.271,2.862,11236776,-,0
2026-05-24T21:37:53Z,17,disjoint,D,1,1000,329.5,2.788,3.476,3.643,37445328,-,0
2026-05-24T21:37:54Z,17,disjoint,E,1,1000,307.0,2.785,5.697,10.720,37057848,-,0
2026-05-24T21:37:55Z,17,disjoint,F,1,1000,443.8,1.893,2.892,5.491,8976,-,0
2026-05-24T21:37:56Z,17,disjoint,A,1,10000,264.7,1.988,2.548,8.955,0,0,0
2026-05-24T21:38:03Z,17,disjoint,B,1,10000,29.9,32.289,40.533,51.300,8952,-,0
2026-05-24T21:38:06Z,17,disjoint,C,1,10000,68.2,13.330,16.789,21.218,111769160,-,0
2026-05-24T21:38:14Z,17,disjoint,D,1,10000,24.3,40.254,48.200,67.706,380369208,-,0
2026-05-24T21:38:20Z,17,disjoint,E,1,10000,39.7,24.024,28.231,33.616,356184760,-,0
2026-05-24T21:38:24Z,17,disjoint,F,1,10000,54.3,17.004,18.617,22.106,9008,-,0
2026-05-24T21:38:30Z,17,disjoint,A,1,100000,34.1,13.225,21.118,30.803,0,0,0
2026-05-24T21:40:01Z,17,disjoint,B,1,100000,2.2,464.480,518.943,563.116,722496,-,0
2026-05-24T21:40:23Z,17,disjoint,C,1,100000,9.1,80.119,127.407,478.091,1230308504,-,0
2026-05-24T21:42:54Z,17,disjoint,D,1,100000,1.3,786.874,846.775,1160.543,3573026400,-,0
2026-05-24T21:44:16Z,17,disjoint,E,1,100000,2.4,395.493,414.327,440.614,3420003280,-,0
2026-05-24T21:44:58Z,17,disjoint,F,1,100000,4.8,192.533,208.955,220.768,9080,-,0
2026-05-24T21:44:58Z,17,disjoint,A,8,1000,13505.2,0.187,0.404,1.262,0,0,0
2026-05-24T21:45:00Z,17,disjoint,B,8,1000,1215.8,6.248,7.103,8.306,71760,-,0
2026-05-24T21:45:03Z,17,disjoint,C,8,1000,522.0,11.483,15.289,185.777,178142632,-,0
2026-05-24T21:45:09Z,17,disjoint,D,8,1000,265.8,32.927,39.200,43.873,290665112,-,0
2026-05-24T21:45:14Z,17,disjoint,E,8,1000,323.1,28.514,35.174,40.755,286651576,-,0
2026-05-24T21:45:16Z,17,disjoint,F,8,1000,1252.9,5.996,6.712,9.124,71696,-,0
2026-05-24T21:45:17Z,17,disjoint,A,8,10000,3236.9,0.919,1.809,4.001,0,0,0
2026-05-24T21:45:31Z,17,disjoint,B,8,10000,112.8,66.268,86.745,117.892,141440,-,0
2026-05-24T21:45:49Z,17,disjoint,C,8,10000,88.1,82.580,120.105,364.254,952276504,-,0
2026-05-24T21:46:45Z,17,disjoint,D,8,10000,28.8,276.289,344.288,542.997,2844426488,-,0
2026-05-24T21:47:37Z,17,disjoint,E,8,10000,30.7,247.548,333.435,363.298,2758997024,-,0
2026-05-24T21:47:50Z,17,disjoint,F,8,10000,125.5,62.064,67.515,70.557,71640,-,0
2026-05-24T21:47:59Z,17,disjoint,A,8,100000,193.9,16.128,32.247,55.949,56,0,0
2026-05-24T21:49:57Z,17,disjoint,B,8,100000,13.6,545.615,718.759,897.203,72592,-,0
2026-05-24T21:51:27Z,17,disjoint,C,8,100000,17.8,382.417,720.914,934.194,6761467200,-,0
2026-05-24T21:57:40Z,17,disjoint,D,8,100000,4.3,1956.364,2366.914,2550.773,20522815952,-,0
2026-05-24T22:02:46Z,17,disjoint,E,8,100000,5.2,1681.698,1963.735,2060.103,20211584664,-,0
2026-05-24T22:04:31Z,17,disjoint,F,8,100000,15.2,501.605,579.636,691.186,72464,-,0
