timestamp,pg_major,mode,impl,backends,K,throughput_tx_per_sec,p50_ms,p95_ms,p99_ms,wal_bytes,xclaim_capacity_observed,deadlocks
2026-05-24T22:04:34Z,17,overlap,A,1,1000,2286.9,0.197,0.237,0.425,176,0,0
2026-05-24T22:04:35Z,17,overlap,B,1,1000,455.3,1.966,2.570,2.902,8952,-,0
2026-05-24T22:04:35Z,17,overlap,C,1,1000,506.0,1.708,2.290,3.110,11237392,-,0
2026-05-24T22:04:36Z,17,overlap,D,1,1000,311.4,2.986,4.306,4.829,37396024,-,0
2026-05-24T22:04:37Z,17,overlap,E,1,1000,326.8,2.975,3.486,7.120,37120976,-,0
2026-05-24T22:04:37Z,17,overlap,F,1,1000,435.2,1.957,2.842,4.390,8952,-,0
2026-05-24T22:04:38Z,17,overlap,A,1,10000,311.3,1.923,2.505,7.170,0,0,0
2026-05-24T22:04:45Z,17,overlap,B,1,10000,31.3,28.693,60.723,76.484,8976,-,0
2026-05-24T22:04:48Z,17,overlap,C,1,10000,73.3,12.993,15.216,17.948,111773864,-,0
2026-05-24T22:04:56Z,17,overlap,D,1,10000,26.2,36.503,48.807,58.854,380551008,-,0
2026-05-24T22:05:01Z,17,overlap,E,1,10000,37.3,26.030,30.928,33.101,356168216,-,0
2026-05-24T22:05:05Z,17,overlap,F,1,10000,52.4,18.125,20.348,22.785,9016,-,0
2026-05-24T22:05:11Z,17,overlap,A,1,100000,38.3,13.492,23.335,34.017,0,0,0
2026-05-24T22:06:39Z,17,overlap,B,1,100000,2.3,433.947,502.011,584.612,722496,-,0
2026-05-24T22:07:00Z,17,overlap,C,1,100000,9.6,80.143,129.193,543.852,1230459672,-,0
2026-05-24T22:08:57Z,17,overlap,D,1,100000,1.7,591.987,722.240,952.596,3574858016,-,0
2026-05-24T22:10:19Z,17,overlap,E,1,100000,2.5,398.029,431.129,455.654,3419592984,-,0
2026-05-24T22:10:59Z,17,overlap,F,1,100000,5.1,185.966,195.201,203.708,9136,-,0
2026-05-24T22:10:59Z,17,overlap,A,8,1000,12214.4,0.261,0.592,1.399,0,0,0
2026-05-24T22:11:07Z,17,overlap,B,8,1000,213.8,1.895,2.637,1009.667,10560,-,7
2026-05-24T22:11:08Z,17,overlap,C,8,1000,1390.4,1.425,13.531,59.679,69884664,-,0
2026-05-24T22:11:16Z,17,overlap,D,8,1000,200.6,4.741,8.451,1009.994,48051016,-,7
2026-05-24T22:11:22Z,17,overlap,E,8,1000,295.7,23.648,57.780,79.255,292722672,-,0
2026-05-24T22:11:24Z,17,overlap,F,8,1000,915.1,7.270,17.037,23.348,71736,-,0
2026-05-24T22:11:25Z,17,overlap,A,8,10000,2422.2,2.044,2.792,4.123,0,0,0
2026-05-24T22:11:38Z,17,overlap,B,8,10000,123.7,28.965,37.937,47.952,9576,-,7
2026-05-24T22:11:40Z,17,overlap,C,8,10000,700.9,2.105,12.998,20.894,103006264,-,0
2026-05-24T22:11:57Z,17,overlap,D,8,10000,98.4,51.927,65.790,79.241,379629784,-,7
2026-05-24T22:13:01Z,17,overlap,E,8,10000,25.1,280.449,672.047,886.786,2852043344,-,0
2026-05-24T22:13:28Z,17,overlap,F,8,10000,60.1,113.165,286.132,421.066,71856,-,0
2026-05-24T22:13:35Z,17,overlap,A,8,100000,208.7,23.420,28.856,35.333,0,0,0
2026-05-24T22:15:06Z,17,overlap,B,8,100000,17.8,407.782,477.936,664.780,10544,-,7
2026-05-24T22:15:14Z,17,overlap,C,8,100000,223.1,13.607,23.135,163.849,340703136,-,0
2026-05-24T22:17:08Z,17,overlap,D,8,100000,14.1,539.334,668.877,911.675,3634678496,-,7
2026-05-25T13:10:02Z,17,overlap,E,8,100000,2.5,2353.701,8124.304,12883.075,27407235712,-,0
2026-05-25T13:14:58Z,17,overlap,F,8,100000,5.4,1059.152,3570.517,5792.225,73720,-,0
